Episode Interval,Episode End,Average Reward (Score),Average Win Rate
0-100,100,-509.86,0.0
100-200,200,-509.09,0.0
200-300,300,-504.28,0.01
300-400,400,-509.48,0.0
400-500,500,-509.46,0.0
500-600,600,-509.2,0.0
600-700,700,-509.99,0.0
700-800,800,-509.28,0.0
800-900,900,-509.9,0.0
900-1000,1000,-511.12,0.0
1000-1100,1100,-509.95,0.0
1100-1200,1200,-509.43,0.0
1200-1300,1300,-509.29,0.0
1300-1400,1400,-509.22,0.0
1400-1500,1500,-510.99,0.0
1500-1600,1600,-509.21,0.0
1600-1700,1700,-509.6,0.0
1700-1800,1800,-510.51,0.0
1800-1900,1900,-509.81,0.0
1900-2000,2000,-510.18,0.0
2000-2100,2100,-510.56,0.0
2100-2200,2200,-510.67,0.0
2200-2300,2300,-510.81,0.0
2300-2400,2400,-511.19,0.0
2400-2500,2500,-510.17,0.0
2500-2600,2600,-509.98,0.0
2600-2700,2700,-509.24,0.0
2700-2800,2800,-508.3,0.0
2800-2900,2900,-509.46,0.0
2900-3000,3000,-510.11,0.0
3000-3100,3100,-508.89,0.0
3100-3200,3200,-510.24,0.0
3200-3300,3300,-504.15,0.01
3300-3400,3400,-504.84,0.01
3400-3500,3500,-503.45,0.01
3500-3600,3600,-510.15,0.0
3600-3700,3700,-507.93,0.01
3700-3800,3800,-505.98,0.01
3800-3900,3900,-494.91,0.03
3900-4000,4000,-513.96,0.0
4000-4100,4100,-485.63,0.05
4100-4200,4200,-465.41,0.08
4200-4300,4300,-490.21,0.04
4300-4400,4400,-455.43,0.1
4400-4500,4500,-456.0,0.1
4500-4600,4600,-406.81,0.18
4600-4700,4700,-423.59,0.16
4700-4800,4800,-359.83,0.26
4800-4900,4900,-377.4,0.23
4900-5000,5000,-293.12,0.37
5000-5100,5100,-271.56,0.41
5100-5200,5200,-335.67,0.3
5200-5300,5300,-352.92,0.28
5300-5400,5400,-296.22,0.37
5400-5500,5500,-149.45,0.61
5500-5600,5600,-10.15,0.84
5600-5700,5700,-88.18,0.71
5700-5800,5800,-170.27,0.57
5800-5900,5900,-214.97,0.5
5900-6000,6000,-110.76,0.67
6000-6100,6100,-125.36,0.64
6100-6200,6200,-132.93,0.63
6200-6300,6300,-63.73,0.75
6300-6400,6400,-131.43,0.64
6400-6500,6500,-105.74,0.68
6500-6600,6600,-78.39,0.73
6600-6700,6700,-17.4,0.83
6700-6800,6800,-58.54,0.76
6800-6900,6900,37.39,0.92
6900-7000,7000,18.53,0.89
7000-7100,7100,-39.46,0.79
7100-7200,7200,25.33,0.9
7200-7300,7300,12.92,0.88
7300-7400,7400,-26.5,0.81
7400-7500,7500,39.75,0.92
7500-7600,7600,20.37,0.89
7600-7700,7700,45.84,0.93
7700-7800,7800,25.53,0.9
7800-7900,7900,44.47,0.93
7900-8000,8000,-51.4,0.77
8000-8100,8100,-51.71,0.77
8100-8200,8200,-33.37,0.8
8200-8300,8300,-58.22,0.76
8300-8400,8400,-11.38,0.84
8400-8500,8500,-15.62,0.83
8500-8600,8600,-58.53,0.76
8600-8700,8700,-1.78,0.85
8700-8800,8800,4.06,0.86
8800-8900,8900,27.83,0.9
8900-9000,9000,33.96,0.91
9000-9100,9100,9.81,0.87
9100-9200,9200,-50.02,0.77
9200-9300,9300,11.98,0.87
9300-9400,9400,-8.48,0.84
9400-9500,9500,28.91,0.9
9500-9600,9600,4.72,0.86
9600-9700,9700,10.94,0.87
9700-9800,9800,10.91,0.87
9800-9900,9900,27.87,0.9
9900-10000,10000,76.73,0.98
10000-10100,10100,-18.51,0.82
10100-10200,10200,17.16,0.88
10200-10300,10300,10.85,0.87
10300-10400,10400,-0.36,0.85
10400-10500,10500,34.87,0.91
10500-10600,10600,34.78,0.91
10600-10700,10700,10.06,0.87
10700-10800,10800,22.68,0.89
10800-10900,10900,-7.74,0.84
10900-11000,11000,33.75,0.91
11000-11100,11100,51.79,0.94
11100-11200,11200,16.1,0.88
11200-11300,11300,16.22,0.88
11300-11400,11400,-1.42,0.85
11400-11500,11500,-49.46,0.77
11500-11600,11600,-25.01,0.81
11600-11700,11700,-50.15,0.77
11700-11800,11800,22.04,0.89
11800-11900,11900,27.96,0.9
11900-12000,12000,46.14,0.93
12000-12100,12100,22.28,0.89
12100-12200,12200,57.81,0.95
12200-12300,12300,28.11,0.9
12300-12400,12400,21.48,0.89
12400-12500,12500,57.82,0.95
12500-12600,12600,57.69,0.95
12600-12700,12700,4.83,0.86
12700-12800,12800,51.46,0.94
12800-12900,12900,21.76,0.89
12900-13000,13000,15.7,0.88
13000-13100,13100,69.62,0.97
13100-13200,13200,34.44,0.91
13200-13300,13300,-25.86,0.81
13300-13400,13400,28.16,0.9
13400-13500,13500,28.76,0.9
13500-13600,13600,27.24,0.9
13600-13700,13700,46.01,0.93
13700-13800,13800,-1.93,0.85
13800-13900,13900,-1.52,0.85
13900-14000,14000,9.45,0.87
14000-14100,14100,39.41,0.92
14100-14200,14200,33.98,0.91
14200-14300,14300,15.96,0.88
14300-14400,14400,-8.28,0.84
14400-14500,14500,-1.38,0.85
14500-14600,14600,16.0,0.88
14600-14700,14700,57.57,0.95
14700-14800,14800,4.95,0.86
14800-14900,14900,21.83,0.89
14900-15000,15000,-19.14,0.82
15000-15100,15100,-14.0,0.83
