Episode Interval,Episode End,Average Reward (Score),Average Win Rate
0-100,100,-464.09,0.0
100-200,200,-455.74,0.0
200-300,300,-443.6,0.0
300-400,400,-432.71,0.0
400-500,500,-423.95,0.0
500-600,600,-393.48,0.0
600-700,700,-394.37,0.0
700-800,800,-374.99,0.0
800-900,900,-369.31,0.0
900-1000,1000,-343.69,0.0
1000-1100,1100,-331.54,0.0
1100-1200,1200,-321.57,0.0
1200-1300,1300,-281.5,0.0
1300-1400,1400,-283.74,0.01
1400-1500,1500,-268.76,0.0
1500-1600,1600,-246.06,0.0
1600-1700,1700,-202.15,0.0
1700-1800,1800,-226.55,0.0
1800-1900,1900,-203.74,0.01
1900-2000,2000,-164.05,0.05
2000-2100,2100,-119.04,0.08
2100-2200,2200,-49.64,0.17
2200-2300,2300,-70.81,0.12
2300-2400,2400,-16.89,0.21
2400-2500,2500,14.44,0.2
2500-2600,2600,-50.9,0.13
2600-2700,2700,-20.5,0.17
2700-2800,2800,7.21,0.21
2800-2900,2900,-24.07,0.15
2900-3000,3000,5.87,0.17
3000-3100,3100,88.11,0.27
3100-3200,3200,49.91,0.21
3200-3300,3300,77.76,0.24
3300-3400,3400,93.69,0.27
3400-3500,3500,203.01,0.42
3500-3600,3600,228.21,0.42
3600-3700,3700,142.53,0.33
3700-3800,3800,159.95,0.34
3800-3900,3900,152.63,0.35
3900-4000,4000,238.92,0.43
4000-4100,4100,150.55,0.34
4100-4200,4200,99.61,0.27
4200-4300,4300,231.46,0.43
4300-4400,4400,205.48,0.34
4400-4500,4500,120.3,0.26
4500-4600,4600,169.19,0.33
4600-4700,4700,195.95,0.35
4700-4800,4800,195.48,0.37
4800-4900,4900,223.42,0.37
4900-5000,5000,163.13,0.34
5000-5100,5100,109.04,0.28
5100-5200,5200,122.71,0.27
5200-5300,5300,134.88,0.28
5300-5400,5400,192.67,0.36
5400-5500,5500,254.76,0.43
5500-5600,5600,294.73,0.48
5600-5700,5700,248.29,0.41
5700-5800,5800,190.33,0.41
5800-5900,5900,282.44,0.46
5900-6000,6000,173.77,0.36
6000-6100,6100,285.12,0.45
6100-6200,6200,235.68,0.42
6200-6300,6300,241.22,0.43
6300-6400,6400,283.04,0.47
6400-6500,6500,292.34,0.49
6500-6600,6600,285.58,0.49
6600-6700,6700,257.96,0.43
6700-6800,6800,268.75,0.44
6800-6900,6900,223.43,0.41
6900-7000,7000,119.54,0.26
7000-7100,7100,199.75,0.36
7100-7200,7200,227.97,0.39
7200-7300,7300,268.67,0.43
7300-7400,7400,274.3,0.42
7400-7500,7500,245.41,0.42
7500-7600,7600,285.09,0.46
7600-7700,7700,361.26,0.6
7700-7800,7800,201.16,0.4
7800-7900,7900,212.64,0.39
7900-8000,8000,236.6,0.42
8000-8100,8100,379.6,0.58
8100-8200,8200,320.29,0.48
8200-8300,8300,321.56,0.51
8300-8400,8400,289.92,0.43
8400-8500,8500,327.11,0.53
8500-8600,8600,297.7,0.47
8600-8700,8700,272.67,0.44
8700-8800,8800,238.46,0.41
8800-8900,8900,287.01,0.46
8900-9000,9000,326.88,0.5
9000-9100,9100,329.29,0.52
9100-9200,9200,306.6,0.48
9200-9300,9300,265.87,0.45
9300-9400,9400,267.47,0.42
9400-9500,9500,371.92,0.57
9500-9600,9600,291.15,0.48
9600-9700,9700,308.97,0.47
9700-9800,9800,327.0,0.49
9800-9900,9900,316.65,0.5
9900-10000,10000,318.08,0.5
10000-10100,10100,316.16,0.5
10100-10200,10200,308.2,0.46
10200-10300,10300,251.4,0.43
10300-10400,10400,381.06,0.55
10400-10500,10500,392.74,0.56
10500-10600,10600,316.65,0.47
10600-10700,10700,355.11,0.5
10700-10800,10800,312.25,0.49
10800-10900,10900,328.69,0.5
10900-11000,11000,349.85,0.53
11000-11100,11100,277.28,0.49
11100-11200,11200,415.68,0.63
11200-11300,11300,383.09,0.58
11300-11400,11400,277.21,0.44
11400-11500,11500,339.14,0.53
11500-11600,11600,326.2,0.52
11600-11700,11700,329.24,0.5
11700-11800,11800,356.41,0.52
11800-11900,11900,378.78,0.56
11900-12000,12000,339.63,0.54
12000-12100,12100,366.96,0.55
12100-12200,12200,285.39,0.48
12200-12300,12300,300.74,0.49
12300-12400,12400,367.84,0.58
12400-12500,12500,357.94,0.55
12500-12600,12600,327.75,0.51
12600-12700,12700,259.24,0.41
12700-12800,12800,304.36,0.45
12800-12900,12900,305.92,0.51
12900-13000,13000,382.89,0.59
13000-13100,13100,298.6,0.51
13100-13200,13200,331.5,0.51
13200-13300,13300,352.84,0.53
13300-13400,13400,353.37,0.54
13400-13500,13500,260.94,0.44
13500-13600,13600,390.97,0.6
13600-13700,13700,277.11,0.43
13700-13800,13800,393.99,0.57
13800-13900,13900,337.78,0.53
13900-14000,14000,360.44,0.53
14000-14100,14100,380.39,0.56
14100-14200,14200,312.54,0.48
14200-14300,14300,411.31,0.6
14300-14400,14400,400.25,0.59
14400-14500,14500,395.01,0.6
14500-14600,14600,374.53,0.56
14600-14700,14700,342.86,0.49
14700-14800,14800,372.06,0.55
14800-14900,14900,413.32,0.63
14900-15000,15000,335.21,0.53
15000-15100,15100,328.81,0.53
